LebwohlLasher3.py: Size: 50, Steps: 50, T*: 0.500: Order: 0.281, Time: 0.630327 s
         4278894 function calls (4091684 primitive calls) in 1.965 seconds

   Ordered by: cumulative time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
       15    0.000    0.000    0.013    0.001 inline_closurecall.py:80(run)
  205/179    0.000    0.000    0.013    0.000 base.py:526(get_function)
       84    0.000    0.000    0.013    0.000 errors.py:670(__init__)
     1349    0.001    0.000    0.013    0.000 module.py:251(_next)
       32    0.000    0.000    0.013    0.000 codegen.py:1091(<setcomp>)
     2606    0.004    0.000    0.012    0.000 ansitowin32.py:81(__init__)
       12    0.000    0.000    0.012    0.001 _docstring.py:51(__missing__)
      406    0.000    0.000    0.012    0.000 lowering.py:1465(storevar)
 1026/918    0.000    0.000    0.012    0.000 ir_utils.py:1520(guard)
     1237    0.001    0.000    0.012    0.000 value.py:143(name)
        1    0.000    0.000    0.012    0.012 overrides.py:1(<module>)
        1    0.000    0.000    0.012    0.012 art3d.py:1(<module>)
      767    0.000    0.000    0.012    0.000 targetconfig.py:196(values)
      764    0.001    0.000    0.012    0.000 context.py:360(_call_incref_decref)
     2162    0.005    0.000    0.012    0.000 context.py:542(_rate_arguments)
        1    0.000    0.000    0.012    0.012 message.py:1(<module>)
      767    0.002    0.000    0.012    0.000 targetconfig.py:199(<dictcomp>)
       16    0.000    0.000    0.012    0.001 codegen.py:1303(_scan_and_fix_unresolved_refs)
       14    0.000    0.000    0.012    0.001 callconv.py:122(raise_error)
     1168    0.001    0.000    0.012    0.000 value.py:206(is_declaration)
      213    0.007    0.000    0.011    0.000 artist.py:1457(<listcomp>)
     8224    0.004    0.000    0.011    0.000 _utils.py:16(register)
        1    0.000    0.000    0.011    0.011 pythonapi.py:1(<module>)
       15    0.000    0.000    0.011    0.001 lowering.py:29(__init__)
       58    0.000    0.000    0.011    0.000 ir.py:111(strformat)
  141/139    0.000    0.000    0.011    0.000 __init__.py:108(import_module)
  141/139    0.000    0.000    0.011    0.000 <frozen importlib._bootstrap>:1192(_gcd_import)
        3    0.000    0.000    0.011    0.004 callwrapper.py:101(build)
       15    0.000    0.000    0.011    0.001 ssa.py:26(reconstruct_ssa)
       45    0.000    0.000    0.011    0.000 postproc.py:158(_insert_var_dels)
       15    0.000    0.000    0.011    0.001 ssa.py:47(_run_ssa)
225121/221710    0.010    0.000    0.011    0.000 {built-in method builtins.len}
       45    0.003    0.000    0.011    0.000 postproc.py:179(_patch_var_dels)
      448    0.011    0.000    0.011    0.000 {built-in method builtins.dir}
       15    0.000    0.000    0.011    0.001 typed_passes.py:555(run_pass)
       42    0.000    0.000    0.011    0.000 ir.py:601(infer_constant)
     7544    0.006    0.000    0.011    0.000 inspect.py:2686(__init__)
       15    0.000    0.000    0.010    0.001 ir_utils.py:2215(check_and_legalize_ir)
        1    0.000    0.000    0.010    0.010 _axes.py:46(Axes)
15827/15737    0.005    0.000    0.010    0.000 _utils.py:54(get_reference)
 1380/764    0.002    0.000    0.010    0.000 context.py:343(get_meminfos)
     9277    0.010    0.000    0.010    0.000 {method 'search' of 're.Pattern' objects}
        3    0.000    0.000    0.010    0.003 callwrapper.py:126(build_wrapper)
       13    0.000    0.000    0.010    0.001 arrayobj.py:496(getitem_array_tuple)
       15    0.000    0.000    0.010    0.001 interpreter.py:1412(post_process)
    27802    0.004    0.000    0.010    0.000 <frozen abc>:117(__instancecheck__)
       25    0.000    0.000    0.010    0.000 castgraph.py:131(unsafe)
        1    0.000    0.000    0.010    0.010 geo.py:1(<module>)
 1431/261    0.003    0.000    0.010    0.000 _compiler.py:37(_compile)
